iter	Passed	Remaining
0	5	5455
1	10	5448
2	16	5490
3	21	5369
4	26	5311
5	32	5393
6	38	5478
7	44	5521
8	50	5548
9	56	5573
10	63	5689
11	68	5647
12	74	5635
13	81	5722
14	86	5704
15	92	5719
16	99	5737
17	104	5696
18	110	5716
19	115	5665
20	120	5639
21	127	5658
22	132	5643
23	138	5619
24	144	5646
25	150	5636
26	155	5616
27	162	5631
28	167	5624
29	173	5621
30	179	5615
31	185	5600
32	191	5604
33	197	5600
34	202	5587
35	213	5709
36	219	5705
37	226	5724
38	231	5700
39	236	5684
40	243	5689
41	248	5676
42	254	5657
43	260	5665
44	265	5643
45	271	5637
46	277	5627
47	282	5610
48	289	5611
49	294	5601
50	300	5588
51	307	5600
52	312	5585
53	317	5565
54	324	5578
55	330	5571
56	336	5562
57	341	5550
58	347	5546
59	354	5548
60	359	5539
61	365	5527
62	372	5534
63	377	5520
64	382	5506
65	399	5657
66	405	5653
67	411	5643
68	417	5635
69	423	5632
70	429	5621
71	435	5618
72	441	5602
73	446	5587
74	452	5585
75	458	5576
76	464	5566
77	471	5571
78	476	5558
79	482	5546
80	488	5537
81	492	5518
82	498	5511
83	504	5505
84	510	5494
85	516	5488
86	521	5477
87	526	5461
88	533	5456
89	538	5441
90	543	5429
91	549	5424
92	555	5415
93	560	5401
94	566	5396
95	571	5380
96	576	5365
97	582	5359
98	587	5346
99	592	5332
100	598	5330
101	603	5314
102	608	5300
103	614	5295
104	619	5282
105	624	5267
106	630	5262
107	635	5247
108	640	5233
109	645	5226
110	651	5217
111	656	5208
112	663	5208
113	669	5200
114	674	5189
115	680	5185
116	686	5178
117	691	5165
118	696	5158
119	702	5148
120	707	5137
121	713	5131
122	718	5124
123	724	5115
124	729	5109
125	734	5096
126	739	5084
127	745	5080
128	750	5068
129	755	5058
130	762	5057
131	767	5049
132	773	5041
133	779	5037
134	784	5026
135	789	5015
136	795	5008
137	800	4997
138	805	4986
139	810	4981
140	815	4970
141	820	4958
142	826	4954
143	831	4944
144	836	4934
145	842	4930
146	847	4919
147	852	4910
148	862	4926
149	867	4915
150	873	4911
151	879	4905
152	884	4895
153	890	4891
154	896	4885
155	901	4875
156	907	4873
157	912	4863
158	917	4854
159	923	4850
160	929	4841
161	934	4833
162	942	4837
163	947	4829
164	952	4820
165	958	4814
166	963	4806
167	968	4798
168	974	4792
169	979	4783
170	984	4775
171	990	4768
172	995	4758
173	1001	4754
174	1006	4746
175	1011	4736
176	1017	4732
177	1024	4728
178	1029	4719
179	1034	4714
180	1040	4708
181	1045	4700
182	1051	4695
183	1057	4687
184	1062	4681
185	1068	4674
186	1074	4669
187	1079	4661
188	1085	4658
189	1091	4651
190	1096	4642
191	1102	4639
192	1107	4632
193	1112	4623
194	1132	4675
195	1138	4668
196	1143	4659
197	1148	4653
198	1154	4645
199	1158	4635
200	1164	4629
201	1170	4623
202	1175	4615
203	1181	4609
204	1186	4602
205	1191	4593
206	1197	4585
207	1202	4577
208	1207	4568
209	1212	4561
210	1218	4554
211	1223	4546
212	1228	4537
213	1233	4532
214	1238	4523
215	1243	4514
216	1250	4511
217	1255	4503
218	1260	4495
219	1266	4490
220	1271	4483
221	1277	4476
222	1282	4469
223	1287	4461
224	1292	4452
225	1298	4446
226	1303	4438
227	1308	4430
228	1314	4425
229	1319	4416
230	1324	4408
231	1330	4403
232	1335	4395
233	1340	4387
234	1346	4383
235	1352	4377
236	1357	4369
237	1363	4365
238	1369	4359
239	1373	4350
240	1380	4347
241	1385	4341
242	1391	4334
243	1396	4327
244	1401	4319
245	1406	4311
246	1412	4305
247	1417	4297
248	1422	4289
249	1428	4284
250	1433	4276
251	1438	4268
252	1444	4264
253	1449	4256
254	1454	4249
255	1461	4246
256	1466	4240
257	1472	4233
258	1477	4226
259	1482	4219
260	1487	4211
261	1492	4205
262	1498	4199
263	1503	4192
264	1509	4186
265	1514	4179
266	1519	4171
267	1525	4167
268	1531	4163
269	1537	4156
270	1543	4152
271	1548	4145
272	1555	4141
273	1560	4135
274	1565	4128
275	1573	4126
276	1578	4120
277	1584	4115
278	1591	4112
279	1596	4106
280	1602	4100
281	1608	4095
282	1613	4088
283	1618	4081
284	1625	4076
285	1630	4069
286	1635	4063
287	1641	4057
288	1646	4050
289	1652	4045
290	1657	4038
291	1662	4031
292	1668	4025
293	1673	4019
294	1679	4014
295	1685	4009
296	1690	4002
297	1695	3994
298	1701	3989
299	1706	3981
300	1711	3974
301	1716	3968
302	1722	3962
303	1727	3955
304	1733	3950
305	1738	3943
306	1743	3936
307	1749	3930
308	1754	3923
309	1759	3916
310	1764	3910
311	1770	3904
312	1775	3896
313	1780	3889
314	1786	3884
315	1791	3877
316	1796	3871
317	1802	3866
318	1808	3859
319	1813	3853
320	1819	3848
321	1824	3841
322	1829	3834
323	1835	3829
324	1840	3822
325	1845	3815
326	1851	3809
327	1856	3802
328	1861	3795
329	1866	3790
330	1871	3783
331	1876	3776
332	1883	3772
333	1888	3766
334	1894	3761
335	1900	3755
336	1905	3748
337	1910	3741
338	1916	3736
339	1921	3729
340	1926	3722
341	1947	3746
342	1952	3739
343	1957	3732
344	1963	3728
345	1968	3721
346	1973	3714
347	1979	3708
348	1985	3702
349	1990	3695
350	1996	3690
351	2001	3684
352	2006	3677
353	2012	3671
354	2017	3665
355	2022	3658
356	2028	3654
357	2034	3648
358	2039	3641
359	2045	3636
360	2050	3629
361	2055	3622
362	2061	3617
363	2066	3610
364	2071	3603
365	2077	3598
366	2082	3591
367	2087	3584
368	2093	3580
369	2099	3574
370	2104	3567
371	2110	3562
372	2115	3555
373	2120	3549
374	2126	3543
375	2131	3536
376	2136	3530
377	2142	3525
378	2147	3519
379	2152	3512
380	2159	3507
381	2164	3501
382	2169	3495
383	2176	3491
384	2181	3484
385	2186	3478
386	2192	3472
387	2197	3466
388	2203	3460
389	2209	3455
390	2214	3449
391	2219	3442
392	2225	3436
393	2229	3429
394	2234	3422
395	2240	3417
396	2245	3410
397	2250	3404
398	2256	3399
399	2261	3392
400	2266	3385
401	2272	3380
402	2277	3373
403	2282	3367
404	2289	3362
405	2294	3357
406	2300	3351
407	2305	3345
408	2311	3339
409	2316	3333
410	2321	3327
411	2326	3320
412	2331	3313
413	2344	3317
414	2349	3311
415	2354	3305
416	2359	3299
417	2364	3292
418	2370	3287
419	2375	3280
420	2380	3274
421	2386	3268
422	2391	3262
423	2396	3256
424	2403	3251
425	2408	3245
426	2413	3238
427	2419	3233
428	2424	3227
429	2429	3220
430	2435	3215
431	2441	3209
432	2445	3202
433	2451	3197
434	2456	3190
435	2462	3184
436	2468	3180
437	2474	3174
438	2479	3167
439	2485	3162
440	2490	3156
441	2496	3151
442	2502	3146
443	2507	3139
444	2513	3134
445	2518	3128
446	2523	3121
447	2529	3116
448	2534	3110
449	2540	3104
450	2545	3098
451	2550	3092
452	2555	3086
453	2560	3079
454	2566	3073
455	2571	3067
456	2576	3061
457	2582	3056
458	2587	3049
459	2593	3043
460	2598	3038
461	2603	3032
462	2609	3026
463	2614	3020
464	2619	3014
465	2624	3007
466	2630	3002
467	2635	2996
468	2640	2989
469	2647	2985
470	2652	2979
471	2658	2973
472	2664	2968
473	2669	2962
474	2675	2957
475	2713	2987
476	2719	2981
477	2725	2976
478	2730	2969
479	2735	2963
480	2741	2957
481	2746	2951
482	2751	2944
483	2756	2938
484	2761	2932
485	2766	2926
486	2772	2920
487	2777	2914
488	2782	2907
489	2787	2901
490	2793	2895
491	2798	2889
492	2803	2883
493	2809	2878
494	2815	2872
495	2820	2865
496	2825	2859
497	2830	2853
498	2835	2847
499	2841	2841
500	2846	2835
501	2852	2829
502	2858	2824
503	2862	2817
504	2867	2811
505	2873	2805
506	2878	2799
507	2883	2792
508	2890	2787
509	2896	2783
510	2903	2778
511	2911	2774
512	2918	2770
513	2924	2765
514	2931	2760
515	2938	2756
516	2944	2750
517	2951	2746
518	2957	2741
519	2963	2735
520	2972	2732
521	2978	2727
522	2986	2724
523	3002	2727
524	3013	2726
525	3022	2723
526	3027	2717
527	3034	2712
528	3040	2707
529	3046	2701
530	3053	2697
